id,title,video,day_id
1,high_knee_chops_left,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499892/exercises/1_day/high_knee_chops_left.mp4,1
2,high_knee_chops_right,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499841/exercises/1_day/high_knee_chops_right.mp4,1
3,hip_swirls,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499911/exercises/1_day/hip_swirls.mp4,1
4,knee_raises,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499850/exercises/1_day/knee_raises.mp4,1
5,reach_and_squat,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499913/exercises/1_day/reach_and_squat.mp4,1
6,scissor_kicks,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499846/exercises/1_day/scissor_kicks.mp4,1
7,side_deep_squat,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499955/exercises/1_day/side_deep_squat.mp4,1
8,side_leg_raise_left,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499954/exercises/1_day/side_leg_raise_left.mp4,1
9,side_leg_raise_right,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499948/exercises/1_day/side_leg_raise_right.mp4,1
10,side_lunge_windmill,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700499955/exercises/1_day/side_lunge_windmill.mp4,1
11,kick_backs,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500417/exercises/2_day/kick_backs.mp4,2
12,knee_push_ups,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500366/exercises/2_day/knee_push_ups.mp4,2
13,lateral_arm_circles,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500415/exercises/2_day/lateral_arm_circles.mp4,2
14,leg_lifts,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500359/exercises/2_day/leg_lifts.mp4,2
15,mountain_climber,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500366/exercises/2_day/mountain_climber.mp4,2
16,rise_and_plie,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500340/exercises/2_day/rise_and_plie.mp4,2
17,running_man,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500379/exercises/2_day/running_man.mp4,2
18,side_lunge_windmill,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500328/exercises/2_day/side_lunge_windmill.mp4,2
19,squat,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500334/exercises/2_day/squat.mp4,2
20,tricep_dips,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500331/exercises/2_day/tricep_dips.mp4,2
21,donkey_kicks_left,https://res.cloudinary.com/dfn1b5xuk/video/upload/v1700500928/exercises/3_day/donkey_kicks_left.mp4,3
